Untitled Adhoc Report,,,,,,,,,,,,,,,,
Measures:Unit Sales,,,,,,,,,,,,,,,,
Product:LIQUID HAND SOAP,,,,,,,,,,,,,,,,
Geography,Week Ending 12-08-19,Week Ending 12-15-19,Week Ending 12-22-19,Week Ending 12-29-19,Week Ending 01-05-20,Week Ending 01-12-20,Week Ending 01-19-20,Week Ending 01-26-20,Week Ending 02-02-20,Week Ending 02-09-20,Week Ending 02-16-20,Week Ending 02-23-20,Week Ending 03-01-20,Week Ending 03-08-20,Week Ending 03-15-20,Week Ending 03-22-20
Alabama - Multi Outlet,99159.44218,95507.70327,99804.09352,107691.0301,98978.62876,102973.4043,92589.81962,88196.24819,95827.78983,110884.1734,101365.2511,93872.42519,125634.6083,209665.2079,411283.898,305026.7512
Arizona - Multi Outlet,175998.0572,167564.481,167818.7938,163422.4572,184163.7967,207027.4891,167620.2901,165441.9668,181486.0761,188082.9576,182861.7468,179978.1165,229203.7148,398955.4751,594835.4278,400540.3392
Arkansas - Multi Outlet,58712.67122,55424.10075,55341.94788,58618.72269,55358.33772,59269.55322,51361.30766,50894.13435,58552.30202,66576.1527,59697.25998,58111.07954,69145.83256,108941.5258,239271.3183,183698.1935
California - Multi Outlet,588683.6844,550018.9203,546918.2167,526318.301,597495.2851,575409.9085,552580.1916,556576.3637,609402.8273,630993.8799,592452.1863,621615.3074,971331.9999,1679407.864,2242738.176,1520108.547
Colorado - Multi Outlet,126606.9268,123706.846,120771.9184,115132.6194,130300.5046,144362.4662,118206.9168,118847.9215,127079.8936,125337.779,129261.8252,130746.1319,180653.2058,377083.0105,501905.67,285377.1525
Connecticut - Multi Outlet,73768.98539,71747.20112,70670.35803,74392.11761,75901.28728,76287.06645,76993.57662,74910.5615,74554.56975,81625.09937,73248.46697,74319.03872,107198.6717,212539.2404,312453.4234,223270.9974
Delaware - Multi Outlet,22463.85215,19759.32472,18282.19827,19467.43656,20834.90631,19140.1783,19089.62887,19552.64249,19375.58207,20472.91731,20812.05868,20031.98848,25618.35318,50790.56217,96725.94738,66413.07319
Florida - Multi Outlet,442720.5775,458670.6956,474960.5016,510475.6468,537098.8821,464690.3462,486529.5207,429582.6259,474353.6738,568838.834,503764.8057,493743.3941,764356.743,1324953.951,1650490.236,1349488.293
Georgia - Multi Outlet,215217.5412,209365.0438,221799.9626,223186.1926,221831.0961,244611.2118,212058.4415,198771.159,216424.9766,240527.5855,232361.4117,221978.563,308377.528,566672.524,850087.8212,678033.692
Idaho - Multi Outlet,28876.97925,28829.26064,29597.38561,28095.6225,28202.90354,31615.79293,24936.88039,26310.2877,27590.44761,28444.78604,28854.859,28117.79945,40837.60477,78622.23939,120934.1816,64642.0934
