Date,Province/State,Population,Deaths,Confirmed,latitude,longitude
2020-04-10,Washington,7614893,483,10119,47.751073999999996,-120.74013899999999
2020-04-10,Illinois,12671821,597,17887,40.633125,-89.398528
2020-04-10,Arizona,7278717,97,3112,34.048928000000004,-111.093731
2020-04-10,California,39512223,583,21081,36.778261,-119.41793200000001
2020-04-10,Massachusetts,6892503,599,20974,42.407211,-71.382437
2020-04-10,Oregon,4217737,44,1322,43.804133,-120.554201
2020-04-10,Rhode Island,1059361,43,1727,41.580095,-71.477429
2020-04-10,Florida,21477737,390,17531,27.664827000000002,-81.515754
2020-04-10,New Hampshire,1359711,21,819,43.193852,-71.572395
2020-04-10,New York,23628065,7867,172348,43.299428000000006,-74.217933
2020-04-10,Georgia,10617423,416,11485,32.157435,-82.907123
2020-04-10,North Carolina,10488084,83,3965,35.759572999999996,-79.0193
2020-04-10,Nevada,3080156,90,2722,38.802609999999994,-116.419389
2020-04-10,New Jersey,8882190,1932,54588,40.058324,-74.405661
2020-04-10,Tennessee,6829174,98,4891,35.517491,-86.58044699999999
2020-04-10,Texas,28995881,238,12105,31.968598999999998,-99.901813
2020-04-10,Colorado,5758736,226,6202,39.550051,-105.782067
2020-04-10,Indiana,6732219,300,6907,40.551217,-85.602364
2020-04-10,Kentucky,4467673,90,1693,37.839333,-84.27001800000001
2020-04-10,Maryland,6045680,171,6968,39.045755,-76.641271
2020-04-10,Minnesota,5639632,57,1336,46.729553,-94.6859
2020-04-10,Nebraska,1934408,15,635,41.492537,-99.901813
2020-04-10,Pennsylvania,12801989,418,20051,41.203322,-77.194525
2020-04-10,Hawaii,1415872,6,442,19.898682,-155.66585700000002
2020-04-10,Oklahoma,3956971,88,1794,35.007752,-97.092877
2020-04-10,South Carolina,5148714,72,3067,33.836081,-81.163725
2020-04-10,Utah,3205958,13,2103,39.32098,-111.093731
2020-04-10,Kansas,2913314,42,1117,39.011902,-98.484246
2020-04-10,Missouri,6626371,99,3897,37.964253,-91.83183299999999
2020-04-10,Vermont,623989,24,679,44.558803000000005,-72.577841
2020-04-10,Virginia,8535519,121,4509,37.431573,-78.656894
2020-04-10,Iowa,3155070,31,1388,41.878003,-93.097702
2020-04-10,Connecticut,3565287,448,10538,41.603221000000005,-73.087749
2020-04-10,Ohio,11689100,231,5878,40.417287,-82.907123
2020-04-10,Wisconsin,5822434,128,3068,43.784440000000004,-88.787868
2020-04-10,Delaware,973764,32,1326,38.910832,-75.52767
2020-04-10,Louisiana,4648794,755,19253,31.244822999999997,-92.14502399999999
2020-04-10,Michigan,9986857,1276,22434,44.314844,-85.602364
2020-04-10,New Mexico,2096829,17,1081,34.97273,-105.03236299999999
2020-04-10,South Dakota,884659,6,536,43.969515,-99.901813
2020-04-10,Maine,1344212,17,586,45.253783,-69.44546899999999
2020-04-10,Mississippi,2976149,82,2469,32.354668,-89.398528
2020-04-10,North Dakota,762062,6,278,47.551493,-101.002012
2020-04-10,Wyoming,578759,0,239,43.075967999999996,-107.29028400000001
2020-04-10,Alabama,4903185,80,2947,32.318231,-86.902298
2020-04-10,Alaska,731545,7,246,63.588753000000004,-154.493062
2020-04-10,Arkansas,3017804,21,1171,35.20105,-91.83183299999999
2020-04-10,Idaho,1787065,24,1354,44.068202,-114.74204099999999
2020-04-10,Montana,1068778,6,365,46.879682,-110.36256599999999
2020-04-10,District of Columbia,705749,38,1660,38.905985,-77.03341800000001
2020-04-10,West Virginia,1792147,5,574,38.597626,-80.454903
