Date,Province/State,Population,Deaths,Confirmed
2020-01-22,Washington,7614893,0,1
2020-01-23,Washington,7614893,0,1
2020-01-24,Illinois,12671821,0,1
2020-01-24,Washington,7614893,0,1
2020-01-25,Illinois,12671821,0,1
2020-01-25,Washington,7614893,0,1
2020-01-26,Arizona,7278717,0,1
2020-01-26,California,39512223,0,2
2020-01-26,Illinois,12671821,0,1
2020-01-26,Washington,7614893,0,1
2020-01-27,Arizona,7278717,0,1
2020-01-27,California,39512223,0,2
2020-01-27,Illinois,12671821,0,1
2020-01-27,Washington,7614893,0,1
2020-01-28,Arizona,7278717,0,1
2020-01-28,California,39512223,0,2
2020-01-28,Illinois,12671821,0,1
2020-01-28,Washington,7614893,0,1
2020-01-29,Arizona,7278717,0,1
2020-01-29,California,39512223,0,2
2020-01-29,Illinois,12671821,0,1
2020-01-29,Washington,7614893,0,1
2020-01-30,Arizona,7278717,0,1
2020-01-30,California,39512223,0,2
2020-01-30,Illinois,12671821,0,1
2020-01-30,Washington,7614893,0,1
2020-01-31,Arizona,7278717,0,1
2020-01-31,California,39512223,0,3
2020-01-31,Illinois,12671821,0,2
2020-01-31,Washington,7614893,0,1
2020-02-01,Arizona,7278717,0,1
2020-02-01,California,39512223,0,3
2020-02-01,Illinois,12671821,0,2
2020-02-01,Massachusetts,6892503,0,1
2020-02-01,Washington,7614893,0,1
2020-02-02,Arizona,7278717,0,1
2020-02-02,California,39512223,0,3
2020-02-02,Illinois,12671821,0,2
2020-02-02,Massachusetts,6892503,0,1
2020-02-02,Washington,7614893,0,1
2020-02-03,Arizona,7278717,0,1
2020-02-03,California,39512223,0,6
2020-02-03,Illinois,12671821,0,2
2020-02-03,Massachusetts,6892503,0,1
2020-02-03,Washington,7614893,0,1
2020-02-04,Arizona,7278717,0,1
2020-02-04,California,39512223,0,6
2020-02-04,Illinois,12671821,0,2
2020-02-04,Massachusetts,6892503,0,1
2020-02-04,Washington,7614893,0,1
2020-02-05,Arizona,7278717,0,1
2020-02-05,California,39512223,0,6
2020-02-05,Illinois,12671821,0,2
2020-02-05,Massachusetts,6892503,0,1
2020-02-05,Washington,7614893,0,1
2020-02-06,Arizona,7278717,0,1
2020-02-06,California,39512223,0,6
2020-02-06,Illinois,12671821,0,2
2020-02-06,Massachusetts,6892503,0,1
2020-02-06,Washington,7614893,0,1
2020-02-07,Arizona,7278717,0,1
2020-02-07,California,39512223,0,6
2020-02-07,Illinois,12671821,0,2
2020-02-07,Massachusetts,6892503,0,1
2020-02-07,Washington,7614893,0,1
2020-02-08,Arizona,7278717,0,1
2020-02-08,California,39512223,0,6
2020-02-08,Illinois,12671821,0,2
2020-02-08,Massachusetts,6892503,0,1
2020-02-08,Washington,7614893,0,1
2020-02-09,Arizona,7278717,0,1
2020-02-09,California,39512223,0,6
